Jeremy Ruten,26
Korbin,6
mookid8000,5
gehsekky,6
MrEdmundo,3
FrancisR,5
Zach Silvey,0
Iván Trujillo,1
ZhaoSheng,0
Richard Alan,6
sgmitchell,0
LeChe,2
Randy the Dev,10
smalltowndev,0
user479363,2
Shahzad Ali,0
burtonposey,0
kudzai,0
Brian Hollister,2
Nick Sweet,4
Maxotaur,1
poshaughnessy,5
Leo Izen,1
David Daniel,0
dennismonsewicz,18
NeedAgileNow,5
user290145,6
dln385,25
Jeff C.,1
CJBrew,7
fdqepd,1
Bret Kuhns,1
bhefny,2
khalifavi,0
Reversed,0
Farzy,7
Steve Claridge,4
coson,5
Ben Runchey,1
erik.wiffin,7
Jesse Collins,0
Mapad,16
Silent,3
Vijay Patel,14
Angeline,1
Jonathan Hess,5
mikek,2
user1715122,-1
Jake McCrary,3
Madao,0
kaspr,0
Simon17,0
timmywil,1
rfeak,3
icecrime,7
Manas Babu,3
Gan Juan Yao,1
peo,1
frazzle,0
I. M. McIntosh,118
dennisyuan,0
Salena,0
robodasha,2
raju-bitter,1
Ruben Restrepo,0
delmet,1
madrat,2
Instal,0
ooOOoo,1
Andreas Krueger,2
Marian André,0
carl-lopez,0
Dan Dietterich,3
Türker Php Coder,1
theMikeSwan,2
Alexandru Circus,36
David Doria,3
Manfred R. Koethe,4
user196196,0
Krzysztof Bujniewicz,1
Matty F,3
user204566,2
Nicolas Riou,2
bhagwat,1
progician,1
vanden,7
David Tinker,4
jot,1
Doraiswamy,1
annavt,16
Nic,8
Won Jun Bae,14
Jamie Dixon,5
encee,14
flawlesslyfaulted,1
Wyatt Barnett,1
Amemiya,0
user498151,2
sammville,1
Alexey Rusakov,4
Andria Jones,2
aden,10
jgua1,3
Spencer Tipping,2
Smokie,2
Jon Erik Ween,0
Vijay Kansal,1
chill,1
markfickett,10
Fravio,3
csbourne,27
Morgan Martinet,0
pure841,0
user347551,0
Danny Sinang,4
Tom van der Woerdt,2
jkiv,0
guiding5,3
Michael Mullany,3
csc,2
Alloi,8
wefwgeweg,5
Diana Villafane,2
ajcw,3
JayDial,1
Korneel Bouman,3
Chente,1
user251264,0
Berny Paul,0
igorbel,2
Marius Andersen,9
diana,1
Matt Calthrop,0
andres descalzo,1
Ramji,5
realcheesypizza,0
Doug Kavendek,9
TJR,3
neilprosser,241
drinian,2
Casey Fleser,20
Andrew Stapleton,24
Seecott,1
Markus Giera,0
T Powers,9
Arnon Axelrod,6
kaharas,1
glarrain,3
Venkatesan Vaidhyanathan,0
Varmint Cong,0
yihang,0
Grigori Kochanov,0
Steven Raines,0
user494298,0
mattshane,7173
Misplaced,2
dlanod,6
BryanB,3
klyde,1
vesan,6
Theil,3
e-anima,0
JSF_Spring_Dummy,1
Collin Burnell,0
Jeppe Mariager-Lam,1
BrunoBrito,0
aautsch,0
Tech0,4
bhavinp,0
Liv MacIntosh,0
Dave Astle,1
systemBuilder,7
iBe,0
Brandon Hilton,2
mat buckland,0
Hari Kishan,1
Jith,0
ComputerGeek,1
Dream Lane,7
Master Ice,2
Shantanu Mishra,0
Pentatonic,0
Stanni,2
mildm8nnered,3
Jacob Kofoed,0
ex12,0
Brian Ballsun-Stanton,1
Mark Theunissen,37
jrrt,3
rocka,2
sysvghost,1
Dunwitch,1
Kehan,2
miroslavec,17
phpuploader,2
TheKeys,12
Vasil Badev,0
Juergen Gutsch,2
fizzbuzz,20
Kinokko,1
